model,pred_type,dataset,accuracy,precision,recall,f1,mAP,ece
baseline,student,desed_validation,0.9769634091923248,0.9670696123384743,0.7564395174437561,0.8488840102451518,0.9121974176693447,0.017583776195512792
baseline,student,maestro_training,0.9728005287373853,0.981373070782331,0.6405001736714137,0.775115594787726,0.7488527919172515,0.035094737620156496
baseline,student,maestro_validation,0.9734729053684786,0.96625,0.5613652868554829,0.7101515847496555,0.6193554746544323,0.026751654911653978
baseline,teacher,desed_validation,0.9774654172244533,0.9669284828441504,0.7626344962504076,0.8527160043747721,0.9122193386222135,0.01778482258831438
baseline,teacher,maestro_training,0.9755713159968479,0.9823943661971831,0.6783605418548107,0.802547770700637,0.7570112940390521,0.03615919695075964
baseline,teacher,maestro_validation,0.9734729053684786,0.9627791563275434,0.5635439360929557,0.7109482363719651,0.5983725685231898,0.02644791562584245
cmt_normal,student,desed_validation,0.9823739402052655,0.9474457919882396,0.8405608086077601,0.8908085694540429,0.9122508417508133,0.009593802054995729
cmt_normal,student,maestro_training,0.9756729962632502,0.9795409181636726,0.6818339701285169,0.8040139258652468,0.74317883013841,0.03506128770626221
cmt_normal,student,maestro_validation,0.9721276327405726,0.9094036697247706,0.5758896151053013,0.7052023121387283,0.602710738175347,0.025864904732788137
cmt_normal,teacher,desed_validation,0.9823460508701473,0.9415820029027576,0.8461036843821323,0.8912931478619268,0.9173502849657691,0.009336234045010067
cmt_normal,teacher,maestro_training,0.9757238363964513,0.9893184130213631,0.6755817992358458,0.8028895768833849,0.7549112671538152,0.03531878488594048
cmt_normal,teacher,maestro_validation,0.9725480304367932,0.9371980676328503,0.5635439360929557,0.7038548752834467,0.6047092338547283,0.025369641651756227
cmt_neg,student,desed_validation,0.9746764837126283,0.9699608184588594,0.7264427779589175,0.8307233407904548,0.9098519015277097,0.02211302281156829
cmt_neg,student,maestro_training,0.9758509367294542,0.975826344351258,0.687044112539076,0.8063595597227884,0.7595433751520351,0.0361582235359984
cmt_neg,student,maestro_validation,0.9720855929709505,0.8879216539717084,0.5925925925925926,0.710801393728223,0.5947217462795997,0.027109290240714224
cmt_neg,teacher,desed_validation,0.9745370370370371,0.9626288659793815,0.7306814476687317,0.8307692307692308,0.9131062598144167,0.021168672380780254
cmt_neg,teacher,maestro_training,0.9751391748646382,0.9866871479774706,0.6693296283431747,0.7975993377483444,0.7554039952495677,0.03669961749640024
cmt_neg,teacher,maestro_validation,0.9728423088241477,0.9451887941534713,0.5635439360929557,0.7060964513193813,0.6045979977972677,0.025942307431544454
