class,n_positive,precision,recall,f1,AP,model
Dishes,55,1.0,0.03636363636363636,0.07017543859649122,0.6951723168971856,baseline
Speech,119,1.0,0.13445378151260504,0.23703703703703705,0.6699118227697208,baseline
cutlery and dishes,55,1.0,0.05454545454545454,0.10344827586206896,0.7264008735848798,baseline
furniture dragging,1,0.0,0.0,0.0,0.3333333333333333,baseline
people talking,704,0.9942965779467681,0.7428977272727273,0.8504065040650407,0.9867282324082071,baseline
children voices,63,1.0,0.15873015873015872,0.273972602739726,0.9109607745161906,baseline
coffee machine,3,0.0,0.0,0.0,0.9166666666666665,baseline
footsteps,352,0.9411764705882353,0.6818181818181818,0.7907742998352554,0.9305363296518088,baseline
large_vehicle,211,0.9830508474576272,0.27488151658767773,0.42962962962962964,0.9424452438253921,baseline
car,737,0.9779086892488954,0.9009497964721845,0.9378531073446328,0.9938151749399847,baseline
brakes_squeaking,47,1.0,0.1702127659574468,0.2909090909090909,0.8373151491796955,baseline
shopping cart,1,0.0,0.0,0.0,0.041666666666666664,baseline
metro leaving,101,1.0,0.06930693069306931,0.12962962962962962,0.8691792470234139,baseline
metro approaching,117,1.0,0.48717948717948717,0.6551724137931034,0.9201269624383779,baseline
door opens/closes,1,0.0,0.0,0.0,0.07692307692307693,baseline
wind_blowing,50,0.9714285714285714,0.68,0.8,0.8874100581511647,baseline
birds_singing,262,1.0,0.8473282442748091,0.9173553719008265,0.9919055336175095,baseline
Dishes,55,1.0,0.01818181818181818,0.03571428571428571,0.6446742123022788,cmt_normal
Speech,119,1.0,0.19327731092436976,0.323943661971831,0.6749354596814745,cmt_normal
cutlery and dishes,55,0.0,0.0,0.0,0.6586517338206257,cmt_normal
furniture dragging,1,0.0,0.0,0.0,0.2,cmt_normal
people talking,704,0.9941860465116279,0.7286931818181818,0.840983606557377,0.9885567696237127,cmt_normal
children voices,63,1.0,0.47619047619047616,0.6451612903225806,0.9244191439212582,cmt_normal
coffee machine,3,1.0,0.6666666666666666,0.8,1.0,cmt_normal
footsteps,352,0.927710843373494,0.65625,0.7687188019966722,0.9227019965418971,cmt_normal
large_vehicle,211,0.9415584415584416,0.6872037914691943,0.7945205479452054,0.9461272840482012,cmt_normal
car,737,0.9895052473763118,0.8955223880597015,0.9401709401709402,0.9954721083171153,cmt_normal
brakes_squeaking,47,1.0,0.19148936170212766,0.32142857142857145,0.8442979881390165,cmt_normal
shopping cart,1,0.0,0.0,0.0,0.0625,cmt_normal
metro leaving,101,1.0,0.297029702970297,0.4580152671755725,0.8996378952501254,cmt_normal
metro approaching,117,0.9523809523809523,0.5128205128205128,0.6666666666666666,0.9072729910859123,cmt_normal
door opens/closes,1,0.0,0.0,0.0,0.058823529411764705,cmt_normal
wind_blowing,50,1.0,0.66,0.7951807228915663,0.9153688152435139,cmt_normal
birds_singing,262,0.9955947136563876,0.8625954198473282,0.9243353783231084,0.9906001849660733,cmt_normal
Dishes,55,0.0,0.0,0.0,0.6323926049320618,cmt_neg
Speech,119,0.967741935483871,0.25210084033613445,0.4,0.6609843192827942,cmt_neg
cutlery and dishes,55,0.0,0.0,0.0,0.6869317855500999,cmt_neg
furniture dragging,1,0.0,0.0,0.0,0.5,cmt_neg
people talking,704,0.9961612284069098,0.7372159090909091,0.8473469387755102,0.9880791757416216,cmt_neg
children voices,63,1.0,0.49206349206349204,0.6595744680851063,0.8996856033917651,cmt_neg
coffee machine,3,1.0,1.0,1.0,1.0,cmt_neg
footsteps,352,0.9372549019607843,0.6789772727272727,0.7874794069192751,0.9273599878522134,cmt_neg
large_vehicle,211,0.9318181818181818,0.7772511848341233,0.8475452196382429,0.9510743061394714,cmt_neg
car,737,0.9890625,0.858887381275441,0.9193899782135077,0.9944250762061632,cmt_neg
brakes_squeaking,47,1.0,0.3191489361702128,0.4838709677419355,0.8546427968887051,cmt_neg
shopping cart,1,0.0,0.0,0.0,0.05555555555555555,cmt_neg
metro leaving,101,1.0,0.36633663366336633,0.5362318840579711,0.9106885779098546,cmt_neg
metro approaching,117,0.9777777777777777,0.37606837606837606,0.5432098765432098,0.9136131921787481,cmt_neg
door opens/closes,1,0.0,0.0,0.0,0.023255813953488372,cmt_neg
wind_blowing,50,1.0,0.62,0.7654320987654321,0.9243559216552467,cmt_neg
birds_singing,262,0.9626556016597511,0.8854961832061069,0.9224652087475149,0.9891926603468073,cmt_neg
