class,n_positive,precision,recall,f1,AP,model
Dishes,55,0.5,0.01818181818181818,0.03508771929824561,0.6787050696942551,baseline
Speech,119,0.9444444444444444,0.2857142857142857,0.43870967741935485,0.6682409567642966,baseline
cutlery and dishes,55,1.0,0.03636363636363636,0.07017543859649122,0.7458868622114255,baseline
furniture dragging,1,0.0,0.0,0.0,0.2,baseline
people talking,704,0.9857397504456328,0.7855113636363636,0.8743083003952569,0.9871080065331002,baseline
children voices,63,0.9444444444444444,0.5396825396825397,0.6868686868686869,0.9275976821671639,baseline
coffee machine,3,0.0,0.0,0.0,1.0,baseline
footsteps,352,0.9517543859649122,0.6164772727272727,0.7482758620689656,0.9291884569657886,baseline
large_vehicle,211,0.9913793103448276,0.5450236966824644,0.7033639143730887,0.9598320417717147,baseline
car,737,0.9849397590361446,0.8873812754409769,0.9336188436830836,0.9948847447587296,baseline
brakes_squeaking,47,1.0,0.23404255319148937,0.3793103448275862,0.840018978635199,baseline
shopping cart,1,0.0,0.0,0.0,0.08333333333333333,baseline
metro leaving,101,1.0,0.21782178217821782,0.35772357723577236,0.8904229253149775,baseline
metro approaching,117,1.0,0.4700854700854701,0.6395348837209303,0.9135911746367907,baseline
door opens/closes,1,0.0,0.0,0.0,0.125,baseline
wind_blowing,50,1.0,0.68,0.8095238095238095,0.9327843784963741,baseline
birds_singing,262,1.0,0.8435114503816794,0.9151138716356108,0.9925973873807378,baseline
Dishes,55,1.0,0.01818181818181818,0.03571428571428571,0.6131721854161257,cmt_normal
Speech,119,0.9736842105263158,0.31092436974789917,0.4713375796178344,0.6660212640112403,cmt_normal
cutlery and dishes,55,0.0,0.0,0.0,0.661398237215654,cmt_normal
furniture dragging,1,0.0,0.0,0.0,0.3333333333333333,cmt_normal
people talking,704,0.9874776386404294,0.7840909090909091,0.8741092636579573,0.9879229956973054,cmt_normal
children voices,63,0.9473684210526315,0.5714285714285714,0.7128712871287128,0.9203466379561711,cmt_normal
coffee machine,3,0.0,0.0,0.0,1.0,cmt_normal
footsteps,352,0.9765258215962441,0.5909090909090909,0.736283185840708,0.9295496328261919,cmt_normal
large_vehicle,211,0.9908256880733946,0.5118483412322274,0.675,0.9465592038374984,cmt_normal
car,737,0.9923547400611621,0.8805970149253731,0.9331416247304097,0.9959630932607345,cmt_normal
brakes_squeaking,47,1.0,0.2553191489361702,0.4067796610169492,0.8479903972282397,cmt_normal
shopping cart,1,0.0,0.0,0.0,0.09090909090909091,cmt_normal
metro leaving,101,1.0,0.25742574257425743,0.4094488188976378,0.8982319021978444,cmt_normal
metro approaching,117,1.0,0.47863247863247865,0.6473988439306358,0.9203818070678199,cmt_normal
door opens/closes,1,0.0,0.0,0.0,0.125,cmt_normal
wind_blowing,50,1.0,0.68,0.8095238095238095,0.90442382535133,cmt_normal
birds_singing,262,1.0,0.8625954198473282,0.9262295081967213,0.9922879353062795,cmt_normal
Dishes,55,0.0,0.0,0.0,0.6552512663405033,cmt_neg
Speech,119,0.9705882352941176,0.2773109243697479,0.43137254901960786,0.6670975275342047,cmt_neg
cutlery and dishes,55,1.0,0.01818181818181818,0.03571428571428571,0.6702666906682981,cmt_neg
furniture dragging,1,0.0,0.0,0.0,0.3333333333333333,cmt_neg
people talking,704,0.9926470588235294,0.7670454545454546,0.8653846153846154,0.9882694405385608,cmt_neg
children voices,63,0.9428571428571428,0.5238095238095238,0.673469387755102,0.9186765009008135,cmt_neg
coffee machine,3,0.0,0.0,0.0,1.0,cmt_neg
footsteps,352,0.9583333333333334,0.6534090909090909,0.777027027027027,0.9314480392416623,cmt_neg
large_vehicle,211,0.990909090909091,0.5165876777251185,0.6791277258566978,0.9573419188910174,cmt_neg
car,737,0.9876923076923076,0.8710990502035278,0.9257390050468637,0.9949803899393902,cmt_neg
brakes_squeaking,47,1.0,0.2553191489361702,0.4067796610169492,0.8438528252122692,cmt_neg
shopping cart,1,0.0,0.0,0.0,0.09090909090909091,cmt_neg
metro leaving,101,1.0,0.2376237623762376,0.384,0.9158298021427611,cmt_neg
metro approaching,117,1.0,0.46153846153846156,0.631578947368421,0.9226332342487183,cmt_neg
door opens/closes,1,0.0,0.0,0.0,0.024390243902439025,cmt_neg
wind_blowing,50,1.0,0.58,0.7341772151898734,0.9339772016900102,cmt_neg
birds_singing,262,1.0,0.8396946564885496,0.9128630705394191,0.9936104137495795,cmt_neg
