model,dataset,filenames,domain,predicted_class,true_class
baseline,desed_validation,/mnt/data/data/dcase/dataset/audio/validation/synthetic21_validation/soundscapes_16k/1000.wav,synthetic,Speech,Running_water
baseline,desed_validation,/mnt/data/data/dcase/dataset/audio/validation/synthetic21_validation/soundscapes_16k/1001.wav,synthetic,Running_water,Blender
baseline,desed_validation,/mnt/data/data/dcase/dataset/audio/validation/synthetic21_validation/soundscapes_16k/1005.wav,synthetic,Cat,Cat
baseline,desed_validation,/mnt/data/data/dcase/dataset/audio/validation/synthetic21_validation/soundscapes_16k/1006.wav,synthetic,Speech,Electric_shaver_toothbrush
baseline,desed_validation,/mnt/data/data/dcase/dataset/audio/validation/synthetic21_validation/soundscapes_16k/1009.wav,synthetic,Speech,Cat
baseline,desed_validation,/mnt/data/data/dcase/dataset/audio/validation/synthetic21_validation/soundscapes_16k/101.wav,synthetic,Cat,Cat
baseline,desed_validation,/mnt/data/data/dcase/dataset/audio/validation/synthetic21_validation/soundscapes_16k/1010.wav,synthetic,Dog,Dog
baseline,desed_validation,/mnt/data/data/dcase/dataset/audio/validation/synthetic21_validation/soundscapes_16k/1011.wav,synthetic,Frying,Dishes
baseline,desed_validation,/mnt/data/data/dcase/dataset/audio/validation/synthetic21_validation/soundscapes_16k/1012.wav,synthetic,Speech,Running_water
baseline,desed_validation,/mnt/data/data/dcase/dataset/audio/validation/synthetic21_validation/soundscapes_16k/1013.wav,synthetic,Frying,Frying
baseline,desed_validation,/mnt/data/data/dcase/dataset/audio/validation/synthetic21_validation/soundscapes_16k/1014.wav,synthetic,Electric_shaver_toothbrush,Electric_shaver_toothbrush
baseline,desed_validation,/mnt/data/data/dcase/dataset/audio/validation/synthetic21_validation/soundscapes_16k/1015.wav,synthetic,Speech,Dishes
baseline,desed_validation,/mnt/data/data/dcase/dataset/audio/validation/synthetic21_validation/soundscapes_16k/1017.wav,synthetic,Frying,Dishes
baseline,desed_validation,/mnt/data/data/dcase/dataset/audio/validation/synthetic21_validation/soundscapes_16k/1018.wav,synthetic,Speech,Cat
baseline,desed_validation,/mnt/data/data/dcase/dataset/audio/validation/synthetic21_validation/soundscapes_16k/102.wav,synthetic,Speech,Dog
baseline,desed_validation,/mnt/data/data/dcase/dataset/audio/validation/synthetic21_validation/soundscapes_16k/1020.wav,synthetic,Speech,Dog
baseline,desed_validation,/mnt/data/data/dcase/dataset/audio/validation/synthetic21_validation/soundscapes_16k/1022.wav,synthetic,Alarm_bell_ringing,Alarm_bell_ringing
baseline,desed_validation,/mnt/data/data/dcase/dataset/audio/validation/synthetic21_validation/soundscapes_16k/1023.wav,synthetic,Speech,Dog
baseline,desed_validation,/mnt/data/data/dcase/dataset/audio/validation/synthetic21_validation/soundscapes_16k/1024.wav,synthetic,Speech,Blender
baseline,desed_validation,/mnt/data/data/dcase/dataset/audio/validation/synthetic21_validation/soundscapes_16k/1026.wav,synthetic,Dishes,Dishes
baseline,desed_validation,/mnt/data/data/dcase/dataset/audio/validation/synthetic21_validation/soundscapes_16k/1027.wav,synthetic,Speech,Dishes
baseline,desed_validation,/mnt/data/data/dcase/dataset/audio/validation/synthetic21_validation/soundscapes_16k/1028.wav,synthetic,Electric_shaver_toothbrush,Electric_shaver_toothbrush
baseline,desed_validation,/mnt/data/data/dcase/dataset/audio/validation/synthetic21_validation/soundscapes_16k/1029.wav,synthetic,Alarm_bell_ringing,Alarm_bell_ringing
